Subject	Predicate	Object	Evidence
Antz	cinematography	Simon J. Smith	| cinematography = [[Simon J. Smith]]
Antz	studio	DreamWorks Pictures	| studio         = {{Plainlist| * [[DreamWorks Pictures]] * [[DreamWorks Animation]] * [[Pacific Data Images]]}}
Antz	studio	DreamWorks Animation	| studio         = {{Plainlist| * [[DreamWorks Pictures]] * [[DreamWorks Animation]] * [[Pacific Data Images]]}}
Antz	studio	Pacific Data Images	| studio         = {{Plainlist| * [[DreamWorks Pictures]] * [[DreamWorks Animation]] * [[Pacific Data Images]]}}
Antz	released date	1998|9|19	| released       = {{Film date|1998|9|19|[[Toronto International Film Festival|TIFF]]|1998|10|2|United States}}
Antz	run time	83 minutes	| runtime        = 83 minutes
Antz	language	English	| language       = English
Antz	budget	105 million	| budget         = {{US$|link=yes}}42–105 million
Antz	gross	171.8 million	| gross          = {{US$|link=yes}}171.8 million}}
Antz	year	1998	'''''Antz''''' is a 1998 American [[computer animation|computer animated]] [[adventure film|adventure]] [[comedy film]] directed by [[Eric Darnell]] and [[Tim Johnson (film director)|Tim Johnson]], and written by [[Paul Weitz (filmmaker)|Paul Weitz]], [[Chris Weitz]] and [[Todd Alcott]].
Antz	genre	computer animation	'''''Antz''''' is a 1998 American [[computer animation|computer animated]] [[adventure film|adventure]] [[comedy film]] directed by [[Eric Darnell]] and [[Tim Johnson (film director)|Tim Johnson]], and written by [[Paul Weitz (filmmaker)|Paul Weitz]], [[Chris Weitz]] and [[Todd Alcott]].
Antz	genre	adventure film	'''''Antz''''' is a 1998 American [[computer animation|computer animated]] [[adventure film|adventure]] [[comedy film]] directed by [[Eric Darnell]] and [[Tim Johnson (film director)|Tim Johnson]], and written by [[Paul Weitz (filmmaker)|Paul Weitz]], [[Chris Weitz]] and [[Todd Alcott]].
Antz	genre	comedy film	'''''Antz''''' is a 1998 American [[computer animation|computer animated]] [[adventure film|adventure]] [[comedy film]] directed by [[Eric Darnell]] and [[Tim Johnson (film director)|Tim Johnson]], and written by [[Paul Weitz (filmmaker)|Paul Weitz]], [[Chris Weitz]] and [[Todd Alcott]].
Antz	approvalRating	93%	==Reception== ===Critical response=== On review aggregator [[Rotten Tomatoes]], the film has an approval rating of 93% based on 91 reviews and an average rating of 7.7/10.
Antz	reviews	91	==Reception== ===Critical response=== On review aggregator [[Rotten Tomatoes]], the film has an approval rating of 93% based on 91 reviews and an average rating of 7.7/10.
